measurement,valid,zero_ct,flip_poly_u,flip_msg_v,random_ct,boundary_coeff
157,19000,19000,19000,19000,19000,19000
158,19000,19000,19000,19000,19000,19000
159,19000,19000,19000,19000,19000,19000
160,19000,19000,19000,19000,19000,19000
161,19000,19000,19000,19000,19000,19000
162,19000,19000,19000,19000,19000,19000
163,19000,19000,19000,19000,19000,19000
164,19000,19000,19000,19000,19000,19000
165,19000,19000,19000,19000,19000,19000
166,19000,19000,19000,19000,19000,19000
167,19000,19000,19000,19000,19000,19000
168,19000,19000,19000,19000,19000,19000
169,19000,19000,19000,19000,19000,19000
170,19000,19000,19000,19000,19000,19000
171,19000,19000,19000,19000,19000,19000
172,19000,19000,19000,19000,19000,19000
173,19000,19000,19000,19000,19000,19000
174,19000,19000,19000,19000,19000,19000
175,19000,19000,19000,19000,19000,19000
176,19000,19000,19000,19000,19000,19000
177,19000,19000,19000,19000,19000,19000
178,19000,19000,19000,19000,19000,19000
179,19000,19000,19000,19000,19000,19000
180,19000,19000,19000,19000,19000,19000
181,19000,19000,19000,19000,19000,19000
182,19000,19000,19000,19000,19000,19000
183,19000,19000,19000,19000,19000,19000
184,19000,19000,19000,19000,19000,19000
185,19000,19000,19000,19000,19000,19000
186,19000,19000,19000,19000,19000,19000
187,19000,19000,19000,19000,19000,19000
188,19000,19000,19000,19000,19000,19000
189,19000,19000,19000,19000,19000,19000
190,19000,19000,19000,19000,19000,19000
191,19000,19000,19000,19000,19000,19000
192,19000,19000,19000,19000,19000,19000
193,19000,19000,19000,19000,19000,19000
194,19000,19000,19000,19000,19000,19000
195,19000,19000,19000,19000,19000,19000
196,19000,19000,19000,19000,19000,19000
197,19000,19000,19000,19000,19000,19000
198,19000,19000,19000,19000,19000,19000
199,19000,19000,19000,19000,19000,19000
200,19000,19000,19000,19000,19000,19000
201,19000,19000,19000,19000,19000,19000
202,19000,19000,19000,19000,19000,19000
203,19000,19000,19000,19000,19000,19000
204,19000,19000,19000,19000,19000,19000
205,19000,19000,19000,19000,19000,19000
206,19000,19000,19000,19000,19000,19000
